src,dest,dist
AUS,ORD,1573385
BOM,MAA,1032080
AUH,TRV,2952852
AUH,BLR,2723694
KUL,BOM,3623100
URC,SHA,3277460
PVG,XMN,815937
XIY,KMG,1178438
MEM,MSY,560538
BOM,NBO,4531242
BNA,LGA,1229747
BOM,DEL,1134665
COK,MAA,517077
BRU,BOM,6873050
BOM,SIN,3920339
DXB,BOM,1927843
HYD,MAA,505160
DMM,AUH,537752
ATH,WAW,1598283
RGN,KUL,1681057
ATL,MBS,1098976
DLM,IST,473339
IST,TIP,1669920
SHA,KMG,1926986
BOM,NRT,6795927
COK,BLR,365716
KUL,DEL,3869364
HYD,BLR,453019
DME,SKG,1986894
MSP,MSY,1672814
CAI,TIP,1755900
PVG,KIX,1309380
ADB,IST,330263
MAA,GOI,733438
XIY,SHE,1516490
BOD,NCE,646460
TBS,AMS,3227951
CRW,ATL,584316
MRS,TLS,312498
BOS,BUF,636603
IST,DLM,473339
CAN,RGN,1930930
TIP,TUN,536444
SKG,NUE,1366589
SHA,CSX,853034
FCO,BOD,1102756
RIX,TBS,2263367
ERZ,IST,1053086
BGR,PHL,761002
ATL,CLT,364981
BZE,CUN,415332
BNE,MEL,1379225
BNA,ORD,658497
DOH,DEL,2553541
AYT,SVO,2177905
ATL,GSP,246766
KWE,SHA,1507633
AUS,MSY,714693
BLR,GOI,482808
CHA,ATL,170775
CCJ,AUH,2689423
BOM,GOI,422956
KWI,AUH,850153
DMM,TRV,3487093
DEL,BOM,1134665
PVG,HKG,1253823
ICN,RGN,3741177
