BOM,BAH,2415132
MSP,ATL,1459002
ATQ,DEL,413201
DMM,TRV,3487093
STR,SKG,1415938
SYX,KMG,1007929
IST,ADA,714185
TXL,HER,2131786
SHA,XIY,1231221
YEG,YYC,246172
BOM,JED,3524079
SZX,HGH,1068845
TUN,TIP,536444
BLR,DEL,1702766
HYD,MAA,505160
ATH,LCA,931818
URC,SHA,3277460
SHA,KMG,1926986
ATH,TXL,1823364
TIP,IST,1669920
PVG,SYX,1892996
GOI,BOM,422956
WUH,KMG,1275073
LCA,SKG,1128006
ERZ,IST,1053086
SIN,PVG,3793921
TBS,AMS,3227951
COK,BOM,1059422
HYD,BLR,453019
DLC,PVG,868161
GZT,IST,873455
SHA,SYX,1866587
HYD,DEL,1262638
KMG,CGO,1482133
ADA,IST,714185
SKG,DUS,1728846
ATL,CRW,584316
ATH,IST,538029
SKG,CDG,1863233
BOM,MCT,1591824
DEL,BRU,6411225
HGH,DLC,974403
SHA,KWE,1507633
HGH,KMG,1815773
PVG,KIX,1309380
SHA,SZX,1206632
BOM,COK,1059422
HKG,DEL,3752209
KMG,HAK,962704
SHE,NKG,1172961
BOM,NRT,6795927
DEL,BOM,1134665
ATH,WAW,1598283
TLV,HER,972300
XIY,SHE,1516490
CRW,ATL,584316
BOM,RUH,2773908
ATH,CAI,1106438
SZX,SHA,1206632
AUH,KWI,850153
DXB,BOM,1927843
DME,SKG,1986894
BOD,NCE,646460
RGN,PNH,1111201
KMG,PEK,2092746
CVG,ATL,600942
HGH,SYX,1729105
ATL,CID,1117001
CKG,SHA,1419624
BOM,KUL,3623100
MAA,DEL,1753663
ATH,TIA,529458
ATL,MBS,1098976
XIY,SHA,1231221
BKK,PVG,2894394
KMG,SYX,1007929
KMG,TNA,1882804
KWI,BOM,2760419
OSL,ATH,2636241
TZX,IST,922981
TPE,PVG,674554
MAA,BLR,268084
MSY,DTW,1490267
ATL,ROA,574993
HGH,SZX,1068845
SIN,RGN,1924218
HER,MUC,1818269
SYX,HGH,1729105
PVG,TPE,674554
BJV,IST,425467
SKG,LED,2203814
BAH,BOM,2415132
JED,TIP,2838796
DEL,HKG,3752209
YYZ,BRU,6061685
HER,CDG,2392554
KMG,PVG,1968438
ATL,TYS,244462
URC,XIY,2108283
IST,AYT,484335
CKG,KMG,629640
MFM,PVG,1288037
HER,DUS,2304161
IST,ODS,623790
HYD,KUL,3007004
VIE,HER,1586678
VIE,TBS,2338335
MSY,MSP,1672814
ATL,MSP,1459002
YYC,YEG,246172
TIP,AMM,2151531
BKK,DEL,2947695
ATH,PRG,1555799
PVG,SIN,3793921
SHJ,COK,2772234
MAD,ATH,2383108
TBS,VKO,1646342
FCO,TIP,1017670
AUH,CCJ,2689423
MAA,COK,517077
ATH,TBS,1841394
ATH,SKG,298859
KMG,PVG,1968438
ATL,SYR,1277132
XMN,SHA,802067
TYS,ATL,244462
VKO,TBS,1646342
COK,MAA,517077
NKG,CSX,671867
ATL,CVG,600942
COK,BLR,365716
HYD,AUH,2595901
GOI,MAA,733438
HER,SKG,606819
IST,ADB,330263
